part,operator,repeat,thickness_nm
1,1,1,100.41225324928529
7,0,0,102.34224805309358
3,1,0,98.63392158535909
4,1,2,99.04840465995967
2,0,2,98.41059810964506
4,0,0,100.90565298299485
9,1,0,99.97261831168801
7,1,1,102.72594214090975
5,2,1,99.03521787076014
9,1,2,99.88274829287111
8,2,0,98.6808889091872
5,0,2,98.55943781475311
7,0,1,102.62985739844125
9,0,1,99.51112696414908
9,2,2,99.15479820388369
3,2,0,98.3605485133228
8,1,0,100.25810995967689
8,0,1,99.63922512374431
4,1,1,99.12491844283895
6,2,0,102.31034230576061
0,1,0,100.91329837815867
8,0,0,98.32490140102082
7,2,2,102.05979576909567
2,1,0,98.97093791978843
6,0,0,100.48648409650066
1,2,2,100.57200791701196
1,2,1,99.6932070556167
8,2,1,99.15330743816578
1,1,2,101.14601813026903
4,0,2,99.07844319417397
0,2,1,100.81468223919353
9,2,1,99.80283808064135
7,1,2,102.54338682282311
9,0,0,98.01687969443728
3,2,1,98.31918603944503
3,1,2,99.42061241159993
1,0,0,100.52890011519769
4,0,1,98.95409863996584
5,2,2,97.16094227125623
5,1,1,98.23185911631633
6,2,1,99.23386249786248
7,0,2,101.96043804112314
6,1,1,99.19489489361872
9,2,0,98.17834996341956
2,1,1,99.3540435434866
3,1,1,99.988223488316
4,2,0,98.1928041716487
4,1,0,99.59827795521066
8,1,2,99.3753497375289
5,0,1,99.2366699304642
0,1,2,99.41244529602986
0,2,0,102.05283907345124
7,1,0,101.817548855536
3,2,2,98.43756653302707
8,0,2,98.5214295458934
2,0,0,99.13448506095679
2,1,2,100.4490033883915
1,0,2,100.26560176107547
5,2,0,98.4464359559081
9,0,2,97.01972012313819
8,1,1,99.47878916436493
5,1,0,99.24010969129682
3,0,1,96.68179644114518
0,0,1,101.38762155707013
3,0,0,99.3211196478931
2,2,2,98.79820843176557
3,0,2,98.21104636036732
7,2,1,101.94532760181836
7,2,0,100.99083308836052
2,0,1,99.72506104872103
0,0,2,98.48165345720012
0,2,2,98.8531336250036
5,1,2,99.62385502645643
6,1,2,100.25887529692955
6,1,0,99.79034562350589
1,2,0,101.8073918982785
6,2,2,99.44164209283066
8,2,2,97.27417096913642
2,2,0,100.73807280520676
6,0,2,98.1044751026823
0,1,1,100.17326971583365
4,2,1,99.29534984676121
6,0,1,98.4515999302557
1,1,0,101.16168083662991
4,2,2,98.86329009182535
1,0,1,101.03107347009642
0,0,0,100.1049383657056
2,2,1,98.26932300526836
9,1,1,97.37991331483295
5,0,0,99.74970920395326
