part,operator,repeat,thickness_nm
1,1,1,100.46546710540481
7,0,0,102.17792489624183
3,1,0,98.71175112589516
4,1,2,99.20623204233225
2,0,2,99.36035373192517
4,0,0,99.68682946262993
9,1,0,99.29533149450309
7,1,1,102.16397177681333
5,2,1,98.5685119874158
9,1,2,99.2773574907397
8,2,0,99.15371159147222
5,0,2,98.57875270516105
7,0,1,102.23544676531137
9,0,1,99.22085512479809
9,2,2,99.05003723781584
3,2,0,98.62231924950055
8,1,0,99.48045659334326
8,0,1,99.43135384320482
4,1,1,99.22153479890811
6,2,0,100.51453700457178
0,1,0,100.2257922277414
8,0,0,99.16848909866012
7,2,2,102.0315662901665
2,1,0,99.43437919699056
6,0,0,100.20914005739792
1,2,2,100.40949702870027
1,2,1,100.23373685642122
8,2,1,99.24819529726794
1,1,2,100.61222008160156
4,0,2,99.32138750486575
0,2,1,100.20487446952576
9,2,1,99.17964521316738
7,1,2,102.12746071319599
9,0,0,98.92200567085573
3,2,1,98.614046754725
3,1,2,98.86908929114333
1,0,0,100.46928713218053
4,0,1,99.29651859402412
5,2,2,98.19365686751502
5,1,1,98.50375475768685
6,2,1,99.89924104299214
7,0,2,102.10156289384774
6,1,1,99.9148369796976
9,2,0,98.85474758972302
2,1,1,99.5110003217302
3,1,1,98.98261150648655
4,2,0,99.08405788616955
4,1,0,99.31620670138246
8,1,2,99.30390454891366
5,0,1,98.71419912830326
0,1,2,99.92562161131563
0,2,0,100.4525058363773
7,1,0,101.98229311973857
3,2,2,98.6377228534414
8,0,2,99.20779472763464
2,0,0,99.50513112218752
2,1,2,99.72999229071118
1,0,2,100.41662746135607
5,2,0,98.45075560444539
9,0,2,98.7225737565959
8,1,1,99.32459243428086
5,1,0,98.70540487268295
3,0,1,98.27573226848479
0,0,1,100.30056281967691
3,0,0,98.80359690983437
2,2,2,99.43392232455521
3,0,2,98.58158225232921
7,2,1,102.00867265671103
7,2,0,101.81777375401947
2,0,1,99.62324631974037
0,0,2,99.7193691997029
0,2,2,99.81256474668777
5,1,2,98.78215393971487
6,1,2,100.12763306035977
6,1,0,100.03392712567504
1,2,0,100.65657382495357
6,2,2,99.94079696198578
8,2,2,98.87236800346206
2,2,0,99.82189519924344
6,0,2,99.73273825863424
0,1,1,100.07778649527638
4,2,1,99.30456702119206
6,0,1,99.80216322414893
1,1,0,100.61535262287374
4,2,2,99.21815507020489
1,0,1,100.56972180316026
0,0,0,100.044026181404
2,2,1,99.32814523925576
9,1,1,98.77679049513208
5,0,0,98.81680698300109
