,sum_sq,df,F,PR(>F)
T,821.8793623220876,1.0,815.9257035644936,2.5938186499829378e-23
P,259.07153365247035,1.0,257.1948306034785,2.9262934328313915e-16
F,433.8359061247758,1.0,430.6932174769421,2.3937777052929317e-19
T:P,0.18596329624724345,1.0,0.18461618612616032,0.6705062735675533
T:F,0.05849853837061866,1.0,0.05807477747425953,0.8112045553086842
P:F,0.0013105352527835812,1.0,0.0013010417917690281,0.9714655220065047
I(T ** 2),1.6489846949338134,1.0,1.6370395207145785,0.2105395082639571
I(P ** 2),4.0556510636408385,1.0,4.026272101739946,0.05388389649083122
I(F ** 2),0.23512530846647975,1.0,0.23342207084298186,0.6325053120840743
Residual,30.21890444429871,30.0,,
