time_s,temperature_c,pressure_torr,flow_sccm,truth_temperature_c,truth_thickness_nm,state,fault,heater,throttle,flow_command,precursor
0.0,25.04481183062627,4.999177586433913,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
0.25,24.93179938222424,4.411859635206296,0.009021540389615772,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
0.5,25.20103228683318,3.8969512801399433,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
0.75,25.07347630752778,3.4437712694035234,0.01581213734968478,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
1.0,24.86042979329377,3.0404349299015263,0.10429547916874317,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
1.25,24.798367817907238,2.6842290667414526,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
1.5,24.806569339032254,2.3668602275368795,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
1.75,24.809883027783446,2.0967866510754383,0.023512662993633773,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
2.0,24.971960358305505,1.8444893379013227,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
2.25,24.99272485818984,1.6371092144025932,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
2.5,24.92833700859491,1.4438583311295783,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
2.75,25.159134793507913,1.2767185830816432,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
3.0,25.132658480107477,1.1294373962409519,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
3.25,25.016569621487424,1.0008114878396526,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
3.5,25.01142103455655,0.8894707086484424,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
3.75,25.12890740320324,0.7840657969648345,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
4.0,25.300062481951365,0.6962564896545862,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
4.25,25.01117743431572,0.6165062507192751,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
4.5,25.10243654007928,0.5446885863576368,0.10008713412514918,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
4.75,25.215778388748422,0.4811851695160879,0.030470791558441353,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
5.0,24.930503863519238,0.4291650983806941,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
5.25,24.9131047605246,0.3801614021121594,0.13481458081506115,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
5.5,25.17178330111812,0.3343901654319515,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
5.75,25.097035513386015,0.29497511537628823,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
6.0,24.985406961149486,0.27171064540382334,0.10341058508561334,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
6.25,24.95091798696667,0.23770020176226944,0.0,25.0,0.0,PUMP_DOWN,NONE,0.0,1.0,0.0,False
