wafer,surface_gain,seed,temperature_c,pressure_torr,flow_sccm,deposition_s,state,fault,cycle_s,truth_thickness_nm,measured_thickness_nm,temperature_mean,temperature_std,pressure_mean,pressure_std,flow_mean,flow_std,heater_mean,deposition_time,thermal_dose,flow_dose
1,1.0,51000,448.5,2.92,107.5,120.0,COMPLETE,NONE,424.0,100.6311013113713,100.63162069577507,448.63317254374476,0.2580925800571675,2.920022334928559,0.0030313986574067807,107.4912564470534,0.14717753523644292,0.4452736131875,120.0,119.31068657223511,12898.950773646407
2,1.0,51001,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.25,97.71935743178196,97.55074415992061,448.6518768202762,0.2879870757122122,2.919992802197228,0.003139149549925916,107.50006021105342,0.1460990595561878,0.4452076326041667,120.0,119.3201165364855,12900.007225326412
3,1.0,51002,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.5,101.68765118029535,101.45380711959281,448.6440778398395,0.27730091143583124,2.9200306660488278,0.003138961342401117,107.50021704788222,0.15249110022560564,0.44526168654166665,120.0,119.31618484678964,12900.026045745866
4,1.0,51003,448.5,2.92,107.5,120.0,COMPLETE,NONE,420.5,100.95624965433281,100.92823230425843,448.6647410080734,0.2997938906881177,2.920005116674313,0.003249370479129599,107.5064297671657,0.14387799089379605,0.44516237127083336,120.0,119.32660073609159,12900.771572059884
5,1.0,51004,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.0,100.9727240320498,100.90147774243165,448.650213017364,0.2810515066147022,2.919986686702285,0.0030871296634321934,107.50531703054017,0.14436626304410594,0.4452120460625,120.0,119.3192767896046,12900.63804366482
6,1.0,51005,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.25,99.8570921584966,99.9619101606706,448.65296413295346,0.28568296886289324,2.9199962295980173,0.002944235533491031,107.49730631547594,0.15443736965137203,0.4451829283541667,120.0,119.32066389594448,12899.676757857113
7,1.0,51006,448.5,2.92,107.5,120.0,COMPLETE,NONE,423.25,100.16366391186806,100.09525424258577,448.6366085095921,0.266146896530188,2.9200195988615985,0.0032283948387062354,107.49371471178384,0.1528141987031034,0.44532241139583334,120.0,119.3124192789645,12899.24576541406
8,1.0,51007,448.5,2.92,107.5,120.0,COMPLETE,NONE,419.5,100.85254241126391,100.69745714644223,448.6724280247872,0.3105713757319468,2.9200066224183363,0.0029985012928624177,107.49664601172618,0.14887605102376564,0.44513636375,120.0,119.33047632567403,12899.597521407142
9,1.0,51008,448.5,2.92,107.5,120.0,COMPLETE,NONE,420.5,98.13246608333282,98.13138063365915,448.66721797747437,0.30029338907048364,2.91996835843036,0.0029220458233345263,107.49829309557381,0.14861139407039192,0.44511560447916665,120.0,119.32784888833642,12899.795171468857
10,1.0,51009,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.5,101.3356942372883,101.03786943395671,448.6542994719364,0.2921394372681043,2.919966341892832,0.002997989544764528,107.49658814863673,0.14510201883161747,0.44522024531250004,120.0,119.32133806871121,12899.590577836409
11,1.0,51010,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.5,100.57252718107893,100.99791436197326,448.65798667356034,0.29357844179036285,2.920004616825301,0.002954044253383433,107.49382862028506,0.15042437632217825,0.44515059268749996,120.0,119.32319617967883,12899.259434434207
12,1.0,51011,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.75,98.81677509328442,98.73614811711427,448.6401264902525,0.268031883214697,2.919997044692181,0.0029489043147291854,107.50431038889013,0.154991525847214,0.4452926963333333,120.0,119.31419214319237,12900.517246666815
13,1.0,51012,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.75,99.81227091488967,99.68696941447482,448.65021015601025,0.28339787717650516,2.9199502128785397,0.0030289963101787715,107.49361354933302,0.14438980280552413,0.4451992981875,120.0,119.3192758335975,12899.233625919962
14,1.0,51013,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.0,101.16094177084483,100.96848448110268,448.65735254171653,0.29115878203464857,2.9200348521800823,0.0029635417585199505,107.50010833842437,0.14965837681950445,0.44522819912500006,120.0,119.32287615248947,12900.013000610925
15,1.0,51014,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.0,100.53604212847105,100.38718593722825,448.6519109586214,0.286657183764946,2.9199792565649574,0.0029791767722165893,107.50122941543246,0.14396879359803294,0.4452347760625,120.0,119.32013345826705,12900.147529851896
16,1.0,51015,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.25,100.22808586227347,99.91861557611671,448.6583845914753,0.2862431803243696,2.9199835508387846,0.0031721792989980063,107.49799776196049,0.14580098219660256,0.44522305549999996,120.0,119.32339511759301,12899.759731435259
17,1.0,51016,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.5,100.39401787831376,100.52148834160423,448.6529709700398,0.286299233314195,2.9200209497237477,0.0030589962046104974,107.50669419019877,0.1513201615809834,0.4452164531041667,120.0,119.32066746901198,12900.803302823853
18,1.0,51017,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.25,100.35939204205887,100.27544746994981,448.6462933696621,0.27397690464316005,2.919976249028822,0.0031884058675367183,107.5100257502576,0.15222371491946418,0.4452796549166667,120.0,119.3173004562013,12901.203090030911
19,1.0,51018,448.5,2.92,107.5,120.0,COMPLETE,NONE,420.75,100.30593817333096,100.54206681504934,448.6624319094446,0.300848636922408,2.9199807269857985,0.0028246631369585615,107.5028140188015,0.15554525167320507,0.44516806570833334,120.0,119.32543751108894,12900.33768225618
20,1.0,51019,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.75,101.25310798665706,101.20613761448598,448.6533470861835,0.289667445077839,2.9200399790366114,0.003018136189046887,107.48712417395058,0.153190160580054,0.44526845733333337,120.0,119.32085768558866,12898.454900874069
21,1.0,51020,448.5,2.92,107.5,120.0,COMPLETE,NONE,423.25,100.48633281386242,100.16625495360387,448.6376467280648,0.26461031830879744,2.919991926484936,0.0030890813655396116,107.48690219264108,0.14098912126933255,0.445282002625,120.0,119.31294207689649,12898.42826311693
22,1.0,51021,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.25,99.39187176501179,99.35078013233807,448.653992757364,0.287031883794185,2.919964472980841,0.003021697673853084,107.48764457847203,0.15064156803843043,0.445232360375,120.0,119.32118244883895,12898.517349416643
23,1.0,51022,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.5,99.90741799283445,99.60683956891009,448.6436953909077,0.2735464016759699,2.919992006200539,0.003019134067757795,107.497685388857,0.1512872714113875,0.44524693437499996,120.0,119.31599139431498,12899.72224666284
24,1.0,51023,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.75,102.01683212831503,102.06313633062689,448.6516886851616,0.28833211031410205,2.919986822089613,0.003072436807184163,107.49750057092906,0.15064138193187904,0.44519073075,120.0,119.320021816828,12899.700068511487
25,1.0,51024,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.5,101.7258558897011,101.58529243453528,448.64554013322976,0.2829093032757654,2.9199910748561217,0.0028750855363984763,107.49627291909358,0.14535967487754362,0.44522582604166666,120.0,119.31692276088413,12899.55275029123
26,1.0,51025,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.5,101.59347665952437,101.435551626784,448.6504417395794,0.2843878558365916,2.920005266027232,0.0029975510752111513,107.51316880054485,0.15294775534047814,0.44519680533333333,120.0,119.31939272068641,12901.580256065381
27,1.0,51026,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.25,100.57382197616441,100.76487783354811,448.6518895654123,0.2829457481918733,2.9199557612293696,0.0032721749110373845,107.50124678542866,0.15450838227465102,0.44521495575000003,120.0,119.32012190472574,12900.149614251439
