wafer,split,seed,temperature_c,pressure_torr,flow_sccm,deposition_s,state,fault,cycle_s,truth_thickness_nm,measured_thickness_nm,temperature_mean,temperature_std,pressure_mean,pressure_std,flow_mean,flow_std,heater_mean,deposition_time,thermal_dose,flow_dose,predicted_nm,lower_nm,upper_nm,nominal_kinetics_nm
1,train,61000,446.23122848632926,3.2175484945538133,105.13429310501695,124.18309673081316,COMPLETE,NONE,424.5,105.37481840570535,105.40922027807225,446.3857109496955,0.29142171873822176,3.2175497376663094,0.0028597290966324296,105.13637562230734,0.13886474092885742,0.4428137149295775,124.25,122.36574515927629,13063.194671071687,105.99337248297334,104.38764981375395,107.59909515219273,105.02008460896926
2,train,61001,448.01258379481783,3.3978148543881304,114.94278568569675,128.95465602768948,COMPLETE,NONE,430.0,113.83007338701421,114.06944862666721,448.1540974837037,0.28165470805593734,3.3978135932309574,0.0030731584366524753,114.93432252045274,0.14171390598743205,0.44477071583333333,129.0,127.99960547410903,14826.527605138403,114.76032464139261,113.15460197217323,116.366047310612,114.39792590533824
3,train,61002,440.76893123927704,3.1483624739899545,105.0437756076137,122.09301384434981,COMPLETE,NONE,419.5,99.15610583718448,99.39034919127458,440.93494792096214,0.3070531009295488,3.1483412139519222,0.0031859694751374466,105.0406415972476,0.15376086905649425,0.43700910214723926,122.25,117.61872142462263,12841.21843526352,100.22305938217164,98.61733671295225,101.82878205139103,100.39305596592425
4,train,61003,452.19382139347056,3.1245080471351603,92.16711600537181,119.30042745414829,COMPLETE,NONE,421.5,97.05217726016092,96.96277022384028,452.3523401839019,0.2884372706454955,3.1245049986054956,0.0031069929539542995,92.18100700830448,0.15496959484135034,0.44908968173640174,119.5,120.68461754511902,11015.630337492385,98.22665445055065,96.62093178133127,99.83237711977004,98.39414547576656
5,train,61004,437.33407495291465,3.2712710494325608,85.59508570423843,110.4480780971482,COMPLETE,NONE,410.25,84.26014868555153,84.27871431022173,437.49020688866204,0.2806283866147684,3.2712858631000246,0.003196109421885246,85.60410354351583,0.1534070493163792,0.4334446147737557,110.5,104.73794293969208,9459.2534415585,83.76127867759962,82.15555600838023,85.36700134681901,84.06084247908146
6,train,61005,463.0947500376455,3.3761371641909053,110.7608310499368,123.80826456513971,COMPLETE,NONE,429.75,115.49881925869502,115.53661133381388,463.2452798932672,0.29128779131691623,3.3761550039409434,0.003098322995538842,110.77213901902894,0.15346156925574994,0.4605857434274193,124.0,130.97436117646157,13735.745238359588,115.07308537448601,113.46736270526662,116.6788080437054,115.5696532199297
7,train,61006,439.7216098526222,3.326028176202093,100.14476119047906,124.00702816030392,COMPLETE,NONE,422.0,101.98533948731176,101.81347958357723,439.8780136198543,0.29374624461725074,3.326030262373951,0.003010436222099879,100.1502370113832,0.14747148662528034,0.4359292404627767,124.25,118.99826442345807,12443.666948664362,101.3800633972125,99.7743407279931,102.98578606643188,101.30043677400322
8,train,61007,435.6974908197942,2.6940115699279077,105.85051885120039,128.97575152300502,COMPLETE,NONE,428.25,100.9940550590287,100.44778466600205,435.8274193376859,0.2695304696720351,2.6940151980822313,0.003036767652436544,105.8425124043078,0.15288000011308897,0.4318166048255814,129.0,121.3886808409449,13653.684100155706,100.29605719170516,98.69033452248577,101.90177986092455,99.80719324569942
9,train,61008,442.3175328998368,2.7545751756055172,93.19595808309587,121.29800273136372,COMPLETE,NONE,421.75,93.19571700303824,93.03978494769876,442.4655008486845,0.28147470956412707,2.7545713489037915,0.0029009942338970272,93.1976066670099,0.15214058601819666,0.438732427654321,121.5,117.66994547044995,11323.509210041702,92.67380436072526,91.06808169150587,94.27952702994465,93.26878187077342
10,train,61009,440.57047683986366,2.6669090617703075,100.96980894070639,122.52558434032098,COMPLETE,NONE,423.75,96.42364696931836,96.17176356552774,440.7055765535602,0.26567514204425424,2.6668913253456776,0.002921149365066997,100.97092737031656,0.14683811315814485,0.4369335744806517,122.75,117.98291861451435,12394.181334706358,95.4542578863137,93.84853521709431,97.05998055553309,95.26591110683648
11,train,61010,450.230343221207,3.3165552049613956,92.90295443528217,119.56703660950073,COMPLETE,NONE,423.0,100.30597614306822,99.91957199891078,450.3736917044078,0.2775973384743317,3.3165454016680096,0.003099439168099889,92.91092720591507,0.15007804858320928,0.4471054868475991,119.75,119.93833721825342,11126.08353290833,99.23601941396291,97.63029674474352,100.8417420831823,99.45282011258843
12,train,61011,453.9520318286888,3.274005859801925,114.27006261650901,122.20095193531957,COMPLETE,NONE,425.0,110.81711196946243,110.90546882262862,454.1102296835573,0.29066416756844915,3.2739760851667454,0.002996963353071079,114.28445914267677,0.1498711456452721,0.450928210408998,122.25,124.37014049643787,13971.275130192234,109.95781077376361,108.35208810454422,111.563533442983,110.01662629101709
